chr	start	end	txname	score	strand	geneid	type
chr13	66933000	66933000	ENSMUST00000172807.1	3547	-	ENSMUSG00000021519.11	processed_transcript
chr13	66905378	66905378	ENSMUST00000021993.4	4293	-	ENSMUSG00000021520.4	protein_coding
chr13	65112975	65112975	ENSMUST00000155487.7	4468	-	ENSMUSG00000038212.16	protein_coding
chr13	64370306	64370306	ENSMUST00000021933.7	5178	-	ENSMUSG00000021477.9	protein_coding
chr13	64312710	64312710	ENSMUST00000220895.1	2161	-	ENSMUSG00000021482.10	protein_coding
chr13	64312710	64312710	ENSMUST00000222570.1	2161	-	ENSMUSG00000021482.10	protein_coding
chr13	64312593	64312593	ENSMUST00000221118.1	3157	-	ENSMUSG00000021482.10	protein_coding
chr13	64312593	64312593	ENSMUST00000221350.1	3157	-	ENSMUSG00000021482.10	protein_coding
chr13	64312574	64312574	ENSMUST00000021938.10	3174	-	ENSMUSG00000021482.10	protein_coding
chr13	64274988	64274988	ENSMUST00000039318.15	1021	-	ENSMUSG00000033102.15	protein_coding
chr13	64274988	64274988	ENSMUST00000221634.1	1021	-	ENSMUSG00000033102.15	protein_coding
chr13	64274879	64274879	ENSMUST00000109770.1	1099	-	ENSMUSG00000033102.15	protein_coding
chr13	64153202	64153202	ENSMUST00000059817.11	2362	-	ENSMUSG00000044934.13	protein_coding
chr13	64153202	64153202	ENSMUST00000117241.1	2362	-	ENSMUSG00000044934.13	protein_coding
chr13	64152485	64152485	ENSMUST00000152644.8	3107	-	ENSMUSG00000044934.13	processed_transcript
chr13	64129368	64129368	ENSMUST00000222168.1	2659	-	ENSMUSG00000033114.11	protein_coding
chr13	64129355	64129355	ENSMUST00000099441.5	2678	-	ENSMUSG00000033114.11	protein_coding
chr13	64129330	64129330	ENSMUST00000222866.1	2691	-	ENSMUSG00000033114.11	protein_coding
chr13	64129311	64129311	ENSMUST00000220792.1	2712	-	ENSMUSG00000033114.11	protein_coding
chr13	63565735	63565735	ENSMUST00000021921.10	362	-	ENSMUSG00000021466.12	protein_coding
chr13	63565274	63565274	ENSMUST00000193953.5	183	-	ENSMUSG00000021466.12	protein_coding
chr13	63564326	63564326	ENSMUST00000195756.5	369	-	ENSMUSG00000021466.12	protein_coding
chr13	63431745	63431745	ENSMUST00000073029.12	400	-	ENSMUSG00000021461.17	protein_coding
chr13	63431724	63431724	ENSMUST00000161977.7	443	-	ENSMUSG00000021461.17	protein_coding
chr13	63431683	63431683	ENSMUST00000160931.1	453	-	ENSMUSG00000021461.17	protein_coding
chr13	62858422	62858422	ENSMUST00000021907.8	210	-	ENSMUSG00000021456.8	protein_coding
chr13	62856309	62856309	ENSMUST00000222000.1	238	-	ENSMUSG00000021456.8	processed_transcript
chr13	62785808	62785808	ENSMUST00000201047.3	251	-	ENSMUSG00000091183.5	protein_coding
chr13	62684945	62684945	ENSMUST00000221996.1	260	-	ENSMUSG00000074863.5	protein_coding
chr13	62684918	62684918	ENSMUST00000221999.1	279	-	ENSMUSG00000074863.5	protein_coding
chr13	62624182	62624182	ENSMUST00000201563.3	1056	-	ENSMUSG00000072066.7	protein_coding
chr13	62558629	62558629	ENSMUST00000222746.1	775	-	ENSMUSG00000074865.11	protein_coding
chr13	62558607	62558607	ENSMUST00000222429.1	786	-	ENSMUSG00000074865.11	protein_coding
chr13	62558595	62558595	ENSMUST00000222852.1	796	-	ENSMUSG00000074865.11	protein_coding
chr13	62558511	62558511	ENSMUST00000076195.6	1002	-	ENSMUSG00000055228.8	protein_coding
chr13	62466832	62466832	ENSMUST00000221747.1	1110	-	ENSMUSG00000113450.1	protein_coding
chr13	62466806	62466806	ENSMUST00000223247.1	1133	-	ENSMUSG00000113450.1	protein_coding
chr13	62466793	62466793	ENSMUST00000221951.1	1156	-	ENSMUSG00000113450.1	processed_transcript
chr13	62383177	62383177	ENSMUST00000187656.6	151	-	ENSMUSG00000094942.7	protein_coding
chr13	62383151	62383151	ENSMUST00000202194.1	157	-	ENSMUSG00000094942.7	protein_coding
chr13	60936625	60936625	ENSMUST00000021880.9	417	-	ENSMUSG00000044258.10	protein_coding
chr13	60936571	60936571	ENSMUST00000223750.1	433	-	ENSMUSG00000044258.10	processed_transcript
chr13	60936571	60936571	ENSMUST00000225167.1	433	-	ENSMUSG00000114432.1	protein_coding
chr13	60936571	60936571	ENSMUST00000225385.1	433	-	ENSMUSG00000044258.10	processed_transcript
chr13	60936571	60936571	ENSMUST00000225859.1	433	-	ENSMUSG00000114432.1	protein_coding
chr13	60936557	60936557	ENSMUST00000226023.1	433	-	ENSMUSG00000044258.10	processed_transcript
chr13	59823147	59823147	ENSMUST00000071703.5	3750	-	ENSMUSG00000035248.9	protein_coding
chr13	59823133	59823133	ENSMUST00000225576.1	3785	-	ENSMUSG00000035248.9	protein_coding
chr13	59823114	59823114	ENSMUST00000225179.1	3932	-	ENSMUSG00000035248.9	protein_coding
chr13	59822588	59822588	ENSMUST00000225987.1	1429	-	ENSMUSG00000035248.9	protein_coding
chr13	59784840	59784840	ENSMUST00000225607.1	145	-	ENSMUSG00000035248.9	processed_transcript
chr13	59782245	59782245	ENSMUST00000225581.1	262	-	ENSMUSG00000114763.1	protein_coding
chr13	59769810	59769810	ENSMUST00000057115.6	5994	-	ENSMUSG00000044792.7	protein_coding
chr13	59769477	59769477	ENSMUST00000225877.1	2216	-	ENSMUSG00000044792.7	processed_transcript
chr13	59675811	59675811	ENSMUST00000022039.6	2270	-	ENSMUSG00000021556.12	protein_coding
chr13	59675780	59675780	ENSMUST00000095739.9	2434	-	ENSMUSG00000021556.12	protein_coding
chr13	59675780	59675780	ENSMUST00000224160.1	2434	-	ENSMUSG00000021556.12	processed_transcript
chr13	59675772	59675772	ENSMUST00000225333.1	2435	-	ENSMUSG00000021556.12	processed_transcript
chr13	59557319	59557319	ENSMUST00000171606.8	1925	-	ENSMUSG00000021557.15	protein_coding
chr13	59557311	59557311	ENSMUST00000022040.13	1954	-	ENSMUSG00000021557.15	protein_coding
chr13	59557300	59557300	ENSMUST00000167096.7	2027	-	ENSMUSG00000021557.15	protein_coding
chr13	59557286	59557286	ENSMUST00000109830.8	2043	-	ENSMUSG00000021557.15	protein_coding
chr13	59557279	59557279	ENSMUST00000165370.8	2050	-	ENSMUSG00000021557.15	protein_coding
chr13	59557037	59557037	ENSMUST00000169434.1	446	-	ENSMUSG00000021557.15	protein_coding
chr13	59556919	59556919	ENSMUST00000170378.7	293	-	ENSMUSG00000021557.15	protein_coding
chr13	58403343	58403343	ENSMUST00000116403.8	416	-	ENSMUSG00000021546.18	protein_coding
chr13	58402649	58402649	ENSMUST00000176207.7	221	-	ENSMUSG00000021546.18	protein_coding
chr13	58402516	58402516	ENSMUST00000224182.1	9227	-	ENSMUSG00000021546.18	protein_coding
chr13	58402502	58402502	ENSMUST00000043269.13	9297	-	ENSMUSG00000021546.18	protein_coding
chr13	58402464	58402464	ENSMUST00000177019.7	9398	-	ENSMUSG00000021546.18	protein_coding
chr13	58402141	58402141	ENSMUST00000225674.1	6841	-	ENSMUSG00000021546.18	protein_coding
chr13	58402116	58402116	ENSMUST00000176558.1	6829	-	ENSMUSG00000021546.18	protein_coding
chr13	58402055	58402055	ENSMUST00000223822.1	5933	-	ENSMUSG00000021546.18	protein_coding
chr13	58401914	58401914	ENSMUST00000225176.1	2254	-	ENSMUSG00000021546.18	protein_coding
chr13	58401570	58401570	ENSMUST00000224342.1	1939	-	ENSMUSG00000021546.18	protein_coding
chr13	58401393	58401393	ENSMUST00000224030.1	2015	-	ENSMUSG00000021546.18	protein_coding
chr13	58401265	58401265	ENSMUST00000224524.1	527	-	ENSMUSG00000021546.18	protein_coding
chr13	58398055	58398055	ENSMUST00000177497.7	289	-	ENSMUSG00000021546.18	protein_coding
chr13	58398017	58398017	ENSMUST00000177117.1	294	-	ENSMUSG00000021546.18	protein_coding
chr13	58395198	58395198	ENSMUST00000176797.7	175	-	ENSMUSG00000021546.18	protein_coding
chr13	58385225	58385225	ENSMUST00000022032.6	407	-	ENSMUSG00000021550.6	protein_coding
chr13	58359122	58359122	ENSMUST00000225388.1	346	-	ENSMUSG00000060176.4	protein_coding
chr13	58274840	58274840	ENSMUST00000225034.1	268	-	ENSMUSG00000021552.7	protein_coding
chr13	58274188	58274188	ENSMUST00000091579.5	1221	-	ENSMUSG00000021552.7	protein_coding
chr13	58274113	58274113	ENSMUST00000224505.1	1194	-	ENSMUSG00000021552.7	protein_coding
chr13	58215653	58215653	ENSMUST00000058735.11	4404	-	ENSMUSG00000005312.15	protein_coding
chr13	58215619	58215619	ENSMUST00000076454.7	4419	-	ENSMUSG00000005312.15	protein_coding
chr13	56135631	56135631	ENSMUST00000016081.12	417	-	ENSMUSG00000015937.15	protein_coding
chr13	56135530	56135530	ENSMUST00000045788.8	6742	-	ENSMUSG00000015937.15	protein_coding
chr13	56135530	56135530	ENSMUST00000139511.7	6742	-	ENSMUSG00000015937.15	processed_transcript
chr13	56134825	56134825	ENSMUST00000154564.1	164	-	ENSMUSG00000015937.15	processed_transcript
chr13	55571120	55571120	ENSMUST00000021957.7	487	-	ENSMUSG00000021495.9	protein_coding
chr13	55536658	55536658	ENSMUST00000021956.8	467	-	ENSMUSG00000021494.9	protein_coding
chr13	55536658	55536658	ENSMUST00000224765.1	467	-	ENSMUSG00000021494.9	protein_coding
chr13	55529296	55529296	ENSMUST00000223563.1	168	-	ENSMUSG00000035711.5	protein_coding
chr13	55528538	55528538	ENSMUST00000047877.4	1325	-	ENSMUSG00000035711.5	protein_coding
chr13	55513446	55513446	ENSMUST00000046246.12	12642	-	ENSMUSG00000021493.15	protein_coding
chr13	55513438	55513438	ENSMUST00000069968.12	12744	-	ENSMUSG00000021493.15	protein_coding
chr13	55513438	55513438	ENSMUST00000131306.7	12744	-	ENSMUSG00000021493.15	protein_coding
chr13	55513434	55513434	ENSMUST00000069929.12	12814	-	ENSMUSG00000021493.15	protein_coding
chr13	55512709	55512709	ENSMUST00000153426.1	347	-	ENSMUSG00000021493.15	protein_coding
chr13	55362783	55362783	ENSMUST00000021940.7	985	-	ENSMUSG00000021484.8	protein_coding
chr13	55329758	55329758	ENSMUST00000021941.7	1599	-	ENSMUSG00000021485.14	protein_coding
chr13	55329352	55329352	ENSMUST00000141644.1	264	-	ENSMUSG00000021485.14	processed_transcript
chr13	55321945	55321945	ENSMUST00000035242.8	7296	-	ENSMUSG00000034789.8	protein_coding
chr13	55100300	55100300	ENSMUST00000099496.3	3389	-	ENSMUSG00000025878.16	protein_coding
chr13	55100295	55100295	ENSMUST00000026997.11	3398	-	ENSMUSG00000025878.16	protein_coding
chr13	54693850	54693850	ENSMUST00000144052.1	3033	-	ENSMUSG00000034928.16	processed_transcript
chr13	54693847	54693847	ENSMUST00000037422.15	3025	-	ENSMUSG00000034928.16	protein_coding
chr13	54693846	54693846	ENSMUST00000126717.7	3014	-	ENSMUSG00000034928.16	protein_coding
chr13	54693812	54693812	ENSMUST00000145397.1	2885	-	ENSMUSG00000034928.16	protein_coding
chr13	54688273	54688273	ENSMUST00000150626.1	407	-	ENSMUSG00000034928.16	protein_coding
chr13	54688257	54688257	ENSMUST00000122935.1	463	-	ENSMUSG00000034928.16	protein_coding
chr13	54688200	54688200	ENSMUST00000125927.7	1415	-	ENSMUSG00000034928.16	protein_coding
chr13	54688188	54688188	ENSMUST00000150806.7	1423	-	ENSMUSG00000034928.16	protein_coding
chr13	54688094	54688094	ENSMUST00000125871.7	1459	-	ENSMUSG00000034928.16	protein_coding
chr13	54687808	54687808	ENSMUST00000146931.7	629	-	ENSMUSG00000034928.16	protein_coding
chr13	54687808	54687808	ENSMUST00000177950.7	629	-	ENSMUSG00000034928.16	protein_coding
chr13	54687654	54687654	ENSMUST00000129881.7	1455	-	ENSMUSG00000034928.16	protein_coding
chr13	54687253	54687253	ENSMUST00000123333.7	472	-	ENSMUSG00000034928.16	processed_transcript
chr13	54611344	54611344	ENSMUST00000091609.10	2864	-	ENSMUSG00000047547.14	protein_coding
chr13	54611292	54611292	ENSMUST00000049575.7	2945	-	ENSMUSG00000047547.14	protein_coding
chr13	54590090	54590090	ENSMUST00000026987.11	1601	-	ENSMUSG00000025869.11	protein_coding
chr13	54565435	54565435	ENSMUST00000026989.14	2226	-	ENSMUSG00000025871.18	protein_coding
chr13	54565356	54565356	ENSMUST00000132136.2	2975	-	ENSMUSG00000025871.18	protein_coding
chr13	54565333	54565333	ENSMUST00000153708.1	3078	-	ENSMUSG00000025871.18	processed_transcript
chr13	54565325	54565325	ENSMUST00000126295.1	3105	-	ENSMUSG00000025871.18	protein_coding
chr13	54468849	54468849	ENSMUST00000026990.5	3566	-	ENSMUSG00000025872.5	protein_coding
chr13	52981073	52981073	ENSMUST00000071065.7	327	-	ENSMUSG00000056749.7	protein_coding
chr13	52929681	52929681	ENSMUST00000110031.3	5208	-	ENSMUSG00000021460.17	protein_coding
chr13	52929661	52929661	ENSMUST00000021913.15	5242	-	ENSMUSG00000021460.17	protein_coding
chr13	52929654	52929654	ENSMUST00000119311.7	5272	-	ENSMUSG00000021460.17	protein_coding
chr13	52929652	52929652	ENSMUST00000120535.7	5288	-	ENSMUSG00000021460.17	protein_coding
chr13	52929652	52929652	ENSMUST00000151469.1	5288	-	ENSMUSG00000021460.17	processed_transcript
chr13	52929458	52929458	ENSMUST00000123599.7	5245	-	ENSMUSG00000021460.17	protein_coding
chr13	51793747	51793747	ENSMUST00000021900.13	332	-	ENSMUSG00000021451.16	protein_coding
chr13	51793673	51793673	ENSMUST00000110040.8	402	-	ENSMUSG00000021451.16	protein_coding
chr13	51793664	51793664	ENSMUST00000155896.1	408	-	ENSMUSG00000021451.16	processed_transcript
chr13	51777111	51777111	ENSMUST00000139858.7	169	-	ENSMUSG00000021451.16	processed_transcript
chr13	51756802	51756802	ENSMUST00000146238.1	390	-	ENSMUSG00000021451.16	processed_transcript
chr13	51756668	51756668	ENSMUST00000146922.7	544	-	ENSMUSG00000021451.16	processed_transcript
chr13	51734763	51734763	ENSMUST00000110039.1	139	-	ENSMUSG00000021451.16	protein_coding
chr13	49652785	49652785	ENSMUST00000021818.8	2651	-	ENSMUSG00000021391.10	protein_coding
chr13	49652767	49652767	ENSMUST00000221751.1	2699	-	ENSMUSG00000021391.10	processed_transcript
chr13	49309240	49309240	ENSMUST00000110087.8	3030	-	ENSMUSG00000037946.11	protein_coding
chr13	49248154	49248154	ENSMUST00000119721.1	387	-	ENSMUSG00000021384.14	protein_coding
chr13	49242900	49242900	ENSMUST00000131880.1	1075	-	ENSMUSG00000021384.14	processed_transcript
chr13	49216037	49216037	ENSMUST00000222733.1	2249	-	ENSMUSG00000037960.11	processed_transcript
chr13	49216026	49216026	ENSMUST00000048946.6	2292	-	ENSMUSG00000037960.11	protein_coding
chr13	49215860	49215860	ENSMUST00000221443.1	2493	-	ENSMUSG00000037960.11	processed_transcript
chr13	48968017	48968017	ENSMUST00000060805.6	2099	-	ENSMUSG00000038014.7	protein_coding
chr13	48871119	48871119	ENSMUST00000035540.8	1579	-	ENSMUSG00000038025.8	protein_coding
chr13	48625664	48625664	ENSMUST00000035824.10	1300	-	ENSMUSG00000038042.10	protein_coding
chr13	48625581	48625581	ENSMUST00000222028.1	3586	-	ENSMUSG00000038042.10	protein_coding
chr13	48513436	48513436	ENSMUST00000176176.7	2328	-	ENSMUSG00000050954.15	protein_coding
chr13	48513426	48513426	ENSMUST00000176949.1	2339	-	ENSMUSG00000050954.15	protein_coding
chr13	48513410	48513410	ENSMUST00000176996.7	2344	-	ENSMUSG00000050954.15	protein_coding
chr13	48513394	48513394	ENSMUST00000177530.7	2347	-	ENSMUSG00000050954.15	protein_coding
chr13	47106201	47106201	ENSMUST00000135278.7	4552	-	ENSMUSG00000021377.15	protein_coding
chr13	47106190	47106190	ENSMUST00000021807.12	4638	-	ENSMUSG00000021377.15	protein_coding
chr13	47106183	47106183	ENSMUST00000150652.1	4673	-	ENSMUSG00000021377.15	processed_transcript
chr13	47106154	47106154	ENSMUST00000143933.1	4773	-	ENSMUSG00000021377.15	processed_transcript
chr13	47105830	47105830	ENSMUST00000129352.2	1331	-	ENSMUSG00000021377.15	protein_coding
chr13	47098438	47098438	ENSMUST00000138401.1	163	-	ENSMUSG00000021377.15	processed_transcript
chr13	47043210	47043210	ENSMUST00000021806.10	1852	-	ENSMUSG00000021376.11	protein_coding
chr13	47043138	47043138	ENSMUST00000124948.1	1934	-	ENSMUSG00000021376.11	protein_coding
chr13	47043124	47043124	ENSMUST00000110118.7	1929	-	ENSMUSG00000021376.11	protein_coding
chr13	46727940	46727940	ENSMUST00000021803.9	4089	-	ENSMUSG00000021374.10	protein_coding
chr13	46716079	46716079	ENSMUST00000183299.2	315	-	ENSMUSG00000021374.10	processed_transcript
chr13	45964977	45964977	ENSMUST00000180110.8	2827	-	ENSMUSG00000046876.16	protein_coding
chr13	45964976	45964976	ENSMUST00000091628.10	2827	-	ENSMUSG00000046876.16	protein_coding
chr13	45964976	45964976	ENSMUST00000222943.1	2827	-	ENSMUSG00000046876.16	processed_transcript
chr13	45964957	45964957	ENSMUST00000167708.3	2828	-	ENSMUSG00000046876.16	protein_coding
chr13	45002147	45002147	ENSMUST00000072329.14	1776	-	ENSMUSG00000057531.14	protein_coding
chr13	45002091	45002091	ENSMUST00000222805.1	1987	-	ENSMUSG00000057531.14	protein_coding
chr13	43560161	43560161	ENSMUST00000021800.5	3647	-	ENSMUSG00000021371.5	protein_coding
chr13	43304172	43304172	ENSMUST00000055341.6	575	-	ENSMUSG00000051335.6	protein_coding
chr13	43171501	43171501	ENSMUST00000021797.8	1419	-	ENSMUSG00000021368.15	protein_coding
chr13	43171484	43171484	ENSMUST00000179852.8	1594	-	ENSMUSG00000021368.15	protein_coding
chr13	43171348	43171348	ENSMUST00000220787.1	2380	-	ENSMUSG00000021368.15	protein_coding
chr13	38960875	38960875	ENSMUST00000021870.11	1024	-	ENSMUSG00000021432.15	protein_coding
chr13	38960824	38960824	ENSMUST00000225432.1	1025	-	ENSMUSG00000021432.15	protein_coding
chr13	38960537	38960537	ENSMUST00000225568.1	6536	-	ENSMUSG00000021432.15	protein_coding
chr13	38960529	38960529	ENSMUST00000167513.2	6576	-	ENSMUSG00000021432.15	protein_coding
chr13	38960507	38960507	ENSMUST00000224645.1	6609	-	ENSMUSG00000021432.15	protein_coding
chr13	38960499	38960499	ENSMUST00000225331.1	6616	-	ENSMUSG00000021432.15	protein_coding
chr13	38659058	38659058	ENSMUST00000001757.8	3689	-	ENSMUSG00000001707.8	protein_coding
chr13	38635109	38635109	ENSMUST00000035899.7	1074	-	ENSMUSG00000038982.10	protein_coding
chr13	38635092	38635092	ENSMUST00000224115.1	1157	-	ENSMUSG00000038982.10	protein_coding
chr13	38635061	38635061	ENSMUST00000224902.1	1205	-	ENSMUSG00000038982.10	protein_coding
chr13	38528490	38528490	ENSMUST00000035988.15	1118	-	ENSMUSG00000038991.17	protein_coding
chr13	38527914	38527914	ENSMUST00000160653.1	637	-	ENSMUSG00000038991.17	protein_coding
chr13	38037069	38037069	ENSMUST00000089840.4	1404	-	ENSMUSG00000044566.15	protein_coding
chr13	38036937	38036937	ENSMUST00000131066.1	2862	-	ENSMUSG00000044566.15	protein_coding
chr13	37994217	37994217	ENSMUST00000021864.7	2552	-	ENSMUSG00000021427.10	protein_coding
chr13	37994157	37994157	ENSMUST00000225246.1	2940	-	ENSMUSG00000021427.10	protein_coding
chr13	37994083	37994083	ENSMUST00000225319.1	3165	-	ENSMUSG00000021427.10	protein_coding
chr13	37993704	37993704	ENSMUST00000224399.1	354	-	ENSMUSG00000021427.10	protein_coding
chr13	36117526	36117526	ENSMUST00000053265.7	555	-	ENSMUSG00000046573.7	protein_coding
chr13	35906359	35906359	ENSMUST00000171686.8	324	-	ENSMUSG00000021418.15	protein_coding
chr13	34994144	34994144	ENSMUST00000171229.7	2023	-	ENSMUSG00000021417.15	protein_coding
chr13	34994144	34994144	ENSMUST00000178421.7	2023	-	ENSMUSG00000021417.15	protein_coding
chr13	34994132	34994132	ENSMUST00000110251.8	2053	-	ENSMUSG00000021417.15	protein_coding
chr13	34345182	34345182	ENSMUST00000040336.11	5143	-	ENSMUSG00000038267.15	protein_coding
chr13	34130466	34130466	ENSMUST00000220744.1	349	-	ENSMUSG00000045136.6	processed_transcript
chr13	34130354	34130354	ENSMUST00000075774.4	1195	-	ENSMUSG00000045136.6	protein_coding
chr13	34078007	34078007	ENSMUST00000056427.9	7377	-	ENSMUSG00000058672.7	protein_coding
chr13	34002786	34002786	ENSMUST00000166354.1	1747	-	ENSMUSG00000060147.15	protein_coding
chr13	34002770	34002770	ENSMUST00000170620.1	1780	-	ENSMUSG00000060147.15	processed_transcript
chr13	34002767	34002767	ENSMUST00000167597.7	1782	-	ENSMUSG00000060147.15	processed_transcript
chr13	34002740	34002740	ENSMUST00000167237.7	1828	-	ENSMUSG00000060147.15	protein_coding
chr13	33935996	33935996	ENSMUST00000017188.13	3449	-	ENSMUSG00000060147.15	protein_coding
chr13	33935977	33935977	ENSMUST00000164627.7	3497	-	ENSMUSG00000060147.15	protein_coding
chr13	33935954	33935954	ENSMUST00000170991.7	3517	-	ENSMUSG00000060147.15	protein_coding
chr13	33935848	33935848	ENSMUST00000168350.7	3763	-	ENSMUSG00000060147.15	protein_coding
chr13	32851185	32851185	ENSMUST00000076352.7	1566	-	ENSMUSG00000044734.16	protein_coding
chr13	32851167	32851167	ENSMUST00000091668.12	1572	-	ENSMUSG00000044734.16	protein_coding
chr13	30974054	30974054	ENSMUST00000021785.7	1982	-	ENSMUSG00000021357.14	protein_coding
chr13	30545362	30545362	ENSMUST00000042834.3	4470	-	ENSMUSG00000038462.3	protein_coding
chr13	29986063	29986063	ENSMUST00000102948.10	3862	-	ENSMUSG00000016477.18	protein_coding
chr13	29984391	29984391	ENSMUST00000221536.1	1084	-	ENSMUSG00000016477.18	protein_coding
chr13	29984391	29984391	ENSMUST00000222730.1	1084	-	ENSMUSG00000016477.18	protein_coding
chr13	29984241	29984241	ENSMUST00000146092.2	1110	-	ENSMUSG00000016477.18	processed_transcript
chr13	29855674	29855674	ENSMUST00000006353.13	1938	-	ENSMUSG00000006191.17	protein_coding
chr13	29855663	29855663	ENSMUST00000091674.11	1946	-	ENSMUSG00000006191.17	protein_coding
chr13	29855431	29855431	ENSMUST00000124532.7	798	-	ENSMUSG00000006191.17	protein_coding
chr13	24831540	24831540	ENSMUST00000224839.1	2762	-	ENSMUSG00000006717.7	processed_transcript
chr13	24831517	24831517	ENSMUST00000006900.6	2828	-	ENSMUSG00000006717.7	protein_coding
chr13	24761923	24761923	ENSMUST00000110382.8	2277	-	ENSMUSG00000006715.11	protein_coding
chr13	24761861	24761861	ENSMUST00000006898.9	2390	-	ENSMUSG00000006715.11	protein_coding
chr13	24280795	24280795	ENSMUST00000072889.11	532	-	ENSMUSG00000021338.17	protein_coding
chr13	23915009	23915009	ENSMUST00000110407.3	190	-	ENSMUSG00000021336.17	protein_coding
chr13	23621124	23621124	ENSMUST00000051091.4	7549	-	ENSMUSG00000047246.7	protein_coding
chr13	23621094	23621094	ENSMUST00000091704.6	7241	-	ENSMUSG00000047246.7	protein_coding
chr13	23543392	23543392	ENSMUST00000224359.1	20253	-	ENSMUSG00000114456.1	protein_coding
chr13	23465901	23465901	ENSMUST00000110434.1	697	-	ENSMUSG00000000706.16	protein_coding
chr13	23465875	23465875	ENSMUST00000041674.13	712	-	ENSMUSG00000000706.16	protein_coding
chr13	23465409	23465409	ENSMUST00000225831.1	331	-	ENSMUSG00000000706.16	processed_transcript
chr13	23423866	23423866	ENSMUST00000041782.3	1693	-	ENSMUSG00000036376.3	protein_coding
chr13	23369208	23369208	ENSMUST00000050101.8	1346	-	ENSMUSG00000046351.11	protein_coding
chr13	23369201	23369201	ENSMUST00000145451.7	1355	-	ENSMUSG00000046351.11	protein_coding
chr13	23369194	23369194	ENSMUST00000125328.1	1360	-	ENSMUSG00000046351.11	protein_coding
chr13	23369000	23369000	ENSMUST00000152557.7	2754	-	ENSMUSG00000046351.11	protein_coding
chr13	22006412	22006412	ENSMUST00000150547.2	126	-	ENSMUSG00000006179.9	protein_coding
chr13	21810197	21810197	ENSMUST00000091749.3	12841	-	ENSMUSG00000069307.6	protein_coding
chr13	21531120	21531120	ENSMUST00000045228.11	4862	-	ENSMUSG00000063894.15	protein_coding
chr13	21531073	21531073	ENSMUST00000110481.2	5093	-	ENSMUSG00000063894.15	protein_coding
chr13	21453660	21453660	ENSMUST00000032820.14	2215	-	ENSMUSG00000022228.14	protein_coding
chr13	21441058	21441058	ENSMUST00000148071.7	140	-	ENSMUSG00000055313.14	protein_coding
chr13	21441044	21441044	ENSMUST00000151743.7	136	-	ENSMUSG00000055313.14	protein_coding
chr13	21402755	21402755	ENSMUST00000116434.10	3559	-	ENSMUSG00000021327.19	protein_coding
chr13	21402755	21402755	ENSMUST00000224820.1	3559	-	ENSMUSG00000021327.19	protein_coding
chr13	21402731	21402731	ENSMUST00000223831.1	3556	-	ENSMUSG00000021327.19	protein_coding
chr13	21402716	21402716	ENSMUST00000116433.1	3571	-	ENSMUSG00000021327.19	protein_coding
chr13	21402713	21402713	ENSMUST00000070785.15	3581	-	ENSMUSG00000021327.19	protein_coding
chr13	21402695	21402695	ENSMUST00000117721.7	3581	-	ENSMUSG00000021327.19	protein_coding
chr13	21402670	21402670	ENSMUST00000151467.2	3615	-	ENSMUSG00000021327.19	processed_transcript
chr13	19395795	19395795	ENSMUST00000039694.12	1436	-	ENSMUSG00000003062.13	protein_coding
chr13	19395734	19395734	ENSMUST00000200323.2	1541	-	ENSMUSG00000003062.13	protein_coding
chr13	17993349	17993349	ENSMUST00000099735.5	2528	-	ENSMUSG00000075054.5	protein_coding
chr13	17944239	17944239	ENSMUST00000009003.8	613	-	ENSMUSG00000008859.8	protein_coding
chr13	17805097	17805097	ENSMUST00000223490.1	3251	-	ENSMUSG00000041297.8	protein_coding
chr13	17804651	17804651	ENSMUST00000042365.8	205	-	ENSMUSG00000041297.8	protein_coding
chr13	17694769	17694769	ENSMUST00000220514.1	1366	-	ENSMUSG00000055137.7	protein_coding
chr13	17694739	17694739	ENSMUST00000068545.5	1404	-	ENSMUSG00000055137.7	protein_coding
chr13	17694737	17694737	ENSMUST00000221598.1	1404	-	ENSMUSG00000055137.7	protein_coding
chr13	14613165	14613165	ENSMUST00000220621.1	204	-	ENSMUSG00000015672.4	protein_coding
chr13	14523105	14523105	ENSMUST00000223189.1	863	-	ENSMUSG00000021301.9	protein_coding
chr13	14063488	14063488	ENSMUST00000170957.2	1236	-	ENSMUSG00000021302.10	protein_coding
chr13	14063418	14063418	ENSMUST00000221713.1	1767	-	ENSMUSG00000021302.10	protein_coding
chr13	14063413	14063413	ENSMUST00000221406.1	1866	-	ENSMUSG00000021302.10	processed_transcript
chr13	14063410	14063410	ENSMUST00000221338.1	1877	-	ENSMUSG00000021302.10	protein_coding
chr13	14063409	14063409	ENSMUST00000222687.1	1882	-	ENSMUSG00000021302.10	protein_coding
chr13	14063373	14063373	ENSMUST00000223174.1	3010	-	ENSMUSG00000021302.10	protein_coding
chr13	14039638	14039638	ENSMUST00000039894.12	6292	-	ENSMUSG00000039233.12	protein_coding
chr13	13393624	13393624	ENSMUST00000220628.1	931	-	ENSMUSG00000021306.11	protein_coding
chr13	13393614	13393614	ENSMUST00000021738.9	959	-	ENSMUSG00000021306.11	protein_coding
chr13	12461506	12461506	ENSMUST00000135166.7	4378	-	ENSMUSG00000057554.13	protein_coding
chr13	12461503	12461503	ENSMUST00000099820.9	4438	-	ENSMUSG00000057554.13	protein_coding
chr13	12461493	12461493	ENSMUST00000143693.7	4474	-	ENSMUSG00000057554.13	protein_coding
